bus	Pg	Qg	Qmax	Qmin	Vg	mBase	status	Pmax	Pmin	Pc1	Pc2	Qc1min	Qc1max	Qc2min	Qc2max	ramp_agc	ramp_10	ramp_30	ramp_q	apf
8	0	0	10	-10	1.0153	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
10	0	0	20	-20	1.0205	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
20	0	0	20	-20	1.001	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
63	0	0	25	-25	0.9583	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
76	0	0	35	12	0.9632	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
84	375	0	240	-240	1.025	100	1	475	190	8	8	0	24	118.75	118.75	1	0	0	0	0
91	155	0	96	-11	1.052	100	1	255	102	4	4	0	24	63.75	63.75	1	0	0	0	0
92	290	0	153	-153	1.052	100	1	390	156	6	6	0	24	97.5	97.5	1	0	0	0	0
98	68	0	56	-30	1	100	1	168	67.2	2	2	0	24	42	42	1	0	0	0	0
108	117	0	77	-24	0.99	100	1	217	86.8	3	3	0	24	54.25	54.25	1	0	0	0	0
119	1930	0	1500	-500	1.0435	100	1	2030	812	20	20	0	24	507.5	507.5	1	0	0	0	0
124	240	0	120	-60	1.0233	100	1	340	136	6	6	0	24	85	85	1	0	0	0	0
125	0	0	200	-25	1.0103	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
138	0	0	350	-125	1.055	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
141	281	0	75	-50	1.051	100	1	381	152.4	6	6	0	24	95.25	95.25	1	0	0	0	0
143	696	0	300	-100	1.0435	100	1	796	318.4	10	10	0	24	199	199	1	0	0	0	0
146	84	0	35	-15	1.0528	100	1	184	73.6	2	2	0	24	46	46	1	0	0	0	0
147	217	0	100	-50	1.0528	100	1	317	126.8	6	6	0	24	79.25	79.25	1	0	0	0	0
149	103	0	50	-25	1.0735	100	1	203	81.2	4	4	0	24	50.75	50.75	1	0	0	0	0
152	372	0	175	-50	1.0535	100	1	472	188.8	8	8	0	24	118	118	1	0	0	0	0
153	216	0	90	-50	1.0435	100	1	316	126.4	6	6	0	24	79	79	1	0	0	0	0
156	0	0	15	-10	0.963	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
170	205	0	90	-40	0.929	100	1	305	122	6	6	0	24	76.25	76.25	1	0	0	0	0
171	0	0	150	-50	0.9829	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
176	228	0	90	-45	1.0522	100	1	328	131.2	6	6	0	24	82	82	1	0	0	0	0
177	84	0	35	-15	1.0077	100	1	184	73.6	3	3	0	24	46	46	1	0	0	0	0
185	200	0	80	-50	1.0522	100	1	300	120	6	6	0	24	75	75	1	0	0	0	0
186	1200	0	400	-100	1.065	100	1	1300	520	16	16	0	24	325	325	1	0	0	0	0
187	1200	0	400	-100	1.065	100	1	1300	520	16	16	0	24	325	325	1	0	0	0	0
190	475	0	300	-300	1.0551	100	1	575	230	10	10	0	24	143.75	143.75	1	0	0	0	0
191	1973	0	1000	-1000	1.0435	100	1	2073	829.2	20	20	0	24	518.25	518.25	1	0	0	0	0
198	424	0	260	-260	1.015	100	1	524	209.6	10	10	0	24	131	131	1	0	0	0	0
213	272	0	150	-150	1.01	100	1	372	148.8	6	6	0	24	93	93	1	0	0	0	0
220	100	0	60	-60	1.008	100	1	200	80	4	4	0	24	50	50	1	0	0	0	0
221	450	0	320	-320	1	100	1	550	220	10	10	0	24	137.5	137.5	1	0	0	0	0
