type	startup	shutdown	n	c2	c1	c0
2	412 	412 	3	0.01	40	0
2	412 	412 	3	0.01	40	0
2	412 	412 	3	0.01	40	0
2	412 	412 	3	0.01	40	0
2	412 	412 	3	0.01	40	0
2	352 	352 	3	0.026666667	20	0
2	397 	397 	3	0.064516129	20	0
2	361 	361 	3	0.034482759	20	0
2	496 	496 	3	0.147058824	20	0
2	423 	423 	3	0.085470086	20	0
2	326 	326 	3	0.005181347	20	0
2	370 	370 	3	0.041666667	20	0
2	412 	412 	3	0.01	40	0
2	412 	412 	3	0.01	40	0
2	363 	363 	3	0.035587189	20	0
2	337 	337 	3	0.014367816	20	0
2	463 	463 	3	0.119047619	20	0
2	375 	375 	3	0.046082949	20	0
2	437 	437 	3	0.097087379	20	0
2	352 	352 	3	0.02688172	20	0
2	376 	376 	3	0.046296296	20	0
2	412 	412 	3	0.01	40	0
2	379 	379 	3	0.048780488	20	0
2	412 	412 	3	0.01	40	0
2	373 	373 	3	0.043859649	20	0
2	463 	463 	3	0.119047619	20	0
2	380 	380 	3	0.05	20	0
2	330 	330 	3	0.008333333	20	0
2	330 	330 	3	0.008333333	20	0
2	345 	345 	3	0.021052632	20	0
2	326 	326 	3	0.005068424	20	0
2	348 	348 	3	0.023584906	20	0
2	364 	364 	3	0.036764706	20	0
2	440 	440 	3	0.1	20	0
2	347 	347 	3	0.022222222	20	0
2	368 	368 	3	0.04	20	0
2	360 	360 	3	0.0330033	20	0
2	355 	355 	3	0.028985507	20	0
2	360 	360 	3	0.033333333	20	0
2	340 	340 	3	0.016666667	20	0
2	368 	368 	3	0.04	20	0
2	342 	342 	3	0.018181818	20	0
2	341 	341 	3	0.017378308	20	0
2	391 	391 	3	0.058823529	20	0
2	463 	463 	3	0.119047619	20	0
2	346 	346 	3	0.021413276	20	0
2	339 	339 	3	0.016051364	20	0
2	330 	330 	3	0.008264463	20	0
2	371 	371 	3	0.042735043	20	0
2	352 	352 	3	0.02688172	20	0
2	356 	356 	3	0.03030303	20	0
2	385 	385 	3	0.054054054	20	0
2	349 	349 	3	0.024390244	20	0
2	344 	344 	3	0.02	20	0
2	644 	644 	3	0.27027027	20	0
2	688 	688 	3	0.01	40	0
2	587 	587 	3	0.222222222	20	0
2	393 	393 	3	0.060606061	20	0
2	350 	350 	3	0.025	20	0
2	350 	350 	3	0.025	20	0
2	423 	423 	3	0.086206897	20	0
2	329 	329 	3	0.007739938	20	0
2	337 	337 	3	0.014285714	20	0
2	341 	341 	3	0.018083183	20	0
2	412 	412 	3	0.01	40	0
2	412 	412 	3	0.01	40	0
2	412 	412 	3	0.01	40	0
2	560 	560 	3	0.2	20	0
2	820 	820 	3	1.25	20	0
