startup	shutdown	n	c2	c1	c0	line_1	line_2
0	0	3	0.002	19	1424.48	2008.68	2008.68
0	0	3	0	5.867	1266.47	1157.56	1157.56
0	0	3	0	8.412	1319.13	2313.14	2313.14
0	0	3	0	9.275	1076.21	411.76	411.76
0	0	3	0.002	19	236.03	5.38	5.38
0	0	3	0.002	19	236.07	8.76	8.76
0	0	3	0.002	23.152	604.8	10.32	10.32
0	0	3	0	0	0	12.4	12.4
0	0	3	0	0	0	7.2	7.2
0	0	3	0	0	0	5.64	5.64
0	0	3	0	0	0	942.94	942.94
0	0	3	0	0	0	423.2	423.2
0	0	3	0	0	0	423.2	423.2
0	0	3	0	0	0	423.2	423.2
0	0	3	0	0	0	423.2	423.2
0	0	3	0	6.87	1363.88	1568.62	1568.62
0	0	3	0	8.143	1060.19	1568.62	1568.62
0	0	3	0	0	0	505.1	505.1
0	0	3	0	0	0	505.1	505.1
0	0	3	0	0	0	1008.2	1008.2
0	0	3	0.002	19	1081.02	765.36	765.36
0	0	3	0.002	19	879.08	540.98	540.98
0	0	3	0	0	0	15.52	15.52
0	0	3	0	0	0	48.8	48.8
0	0	3	0	0	0	1331.12	1331.12
0	0	3	0	0	0	1340.48	1340.48
0	0	3	0.002	19	236.08	9.54	9.54
0	0	3	0.002	24.033	799.8	348.32	348.32
0	0	3	0.002	24.033	799.8	348.32	348.32
0	0	3	0.002	26.742	2763.98	1387.28	1387.28
0	0	3	0.002	19	236.11	12.66	12.66
0	0	3	0.002	19	236.09	10.58	10.58
0	0	3	0.002	19	236.08	9.54	9.54
0	0	3	0.002	19	236.14	16.04	16.04
0	0	3	0.002	19	236.03	4.86	4.86
0	0	3	0.002	23.396	658.8	103.92	103.92
0	0	3	0.002	23.202	615.9	29.56	29.56
0	0	3	0.002	23.816	751.8	265.12	265.12
0	0	3	0.002	19	236.08	9.54	9.54
0	0	3	0.002	19	236.08	9.54	9.54
0	0	3	0	0	0	4.6	4.6
0	0	3	0	0	0	8.24	8.24
0	0	3	0	0	0	111.98	111.98
0	0	3	0	0	0	41	41
0	0	3	0	0	0	18.12	18.12
0	0	3	0	0	0	39.44	39.44
0	0	3	0	0	0	194.4	194.4
0	0	3	0.002	23.141	602.4	6.16	6.16
0	0	3	0.002	23.205	616.5	30.6	30.6
0	0	3	0.002	23.152	604.8	10.32	10.32
0	0	3	0.002	23.198	615	28	28
0	0	3	0.002	24.305	859.99	452.66	452.66
0	0	3	0.002	24.305	859.99	452.66	452.66
0	0	3	0.002	24.305	859.99	452.66	452.66
0	0	3	0.002	23.919	774.6	304.64	304.64
0	0	3	0.002	23.919	774.6	304.64	304.64
0	0	3	0.002	23.919	774.6	304.64	304.64
0	0	3	0.002	23.919	774.6	304.64	304.64
0	0	3	0.002	23.919	774.6	304.64	304.64
0	0	3	0.002	23.808	750	262	262
0	0	3	0.002	24.059	805.42	358.06	358.06
0	0	3	0.002	24.059	805.42	358.06	358.06
0	0	3	0.002	24.059	805.42	358.06	358.06
0	0	3	0.002	24.059	805.42	358.06	358.06
0	0	3	0.002	23.883	766.65	290.86	290.86
0	0	3	0	0	0	4.6	4.6
0	0	3	0	0	0	10.58	10.58
0	0	3	0	0	0	5.12	5.12
0	0	3	0	0	0	19.42	19.42
0	0	3	0	0	0	13.18	13.18
0	0	3	0	0	0	514.2	514.2
0	0	3	0	0	0	514.2	514.2
0	0	3	0	0	0	514.2	514.2
0	0	3	0	0	0	514.2	514.2
0	0	3	0	0	0	514.2	514.2
0	0	3	0.002	23.862	762	282.8	282.8
0	0	3	0.002	24.316	862.5	457	457
0	0	3	0.002	23.152	604.95	10.58	10.58
0	0	3	0.002	24.641	934.24	581.36	581.36
0	0	3	0.002	26.152	1344.19	1160.74	1160.74
0	0	3	0	0	0	286.96	286.96
0	0	3	0.002	19	236.19	20.72	20.72
0	0	3	0	0	0	147.6	147.6
0	0	3	0	0	0	119	119
0	0	3	0	0	0	119	119
0	0	3	0	0	0	64.4	64.4
0	0	3	0	0	0	74.8	74.8
0	0	3	0.002	19	236.15	17.08	17.08
0	0	3	0	0	0	158	158
0	0	3	0	0	0	48.8	48.8
